result,cap-shape,cap-shape,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
1,x,s,y,1,l,f,c,b,k,e,c,s,s,w,w,p,w,1,p,k,n,m
1,x,f,n,1,n,f,c,b,n,t,b,s,s,p,p,p,w,1,p,n,v,d
1,f,y,n,1,n,f,c,b,w,t,b,s,s,w,w,p,w,1,p,n,y,d
1,x,s,g,0,n,f,w,b,n,t,e,f,f,w,w,p,w,1,e,n,s,g
1,x,y,e,1,n,f,c,b,u,t,b,s,s,w,p,p,w,1,p,n,y,d
1,x,f,g,0,n,f,w,b,k,t,e,f,s,w,w,p,w,1,e,n,s,g
1,f,s,w,0,n,f,w,b,p,t,e,f,s,w,w,p,w,1,e,n,s,g
1,x,f,n,1,n,f,c,b,n,t,b,s,s,g,g,p,w,1,p,n,v,d
1,f,f,n,1,n,f,c,b,u,t,b,s,s,w,p,p,w,1,p,n,v,d
1,f,f,g,0,n,f,w,b,n,t,e,s,f,w,w,p,w,1,e,k,s,g
1,f,f,g,0,n,f,w,b,n,t,e,s,s,w,w,p,w,1,e,k,s,g
1,f,f,n,0,n,f,w,b,h,t,e,f,f,w,w,p,w,1,e,n,s,g
1,x,f,g,1,n,f,c,b,p,t,b,s,s,g,w,p,w,1,p,k,y,d
1,x,f,e,1,n,f,c,b,n,t,b,s,s,p,g,p,w,1,p,n,y,d
0,f,y,n,1,p,f,c,n,p,e,e,s,s,w,w,p,w,1,p,k,s,u
1,x,y,g,1,n,f,c,b,p,t,b,s,s,g,g,p,w,1,p,k,v,d
1,x,s,w,0,n,f,w,b,k,t,e,s,f,w,w,p,w,1,e,n,a,g
1,b,s,w,1,a,f,c,b,g,e,c,s,s,w,w,p,w,1,p,n,s,m
1,x,s,w,0,n,f,w,b,h,t,e,f,f,w,w,p,w,1,e,n,s,g
1,f,f,n,0,n,f,w,b,k,t,e,f,f,w,w,p,w,1,e,k,s,g
1,x,y,g,1,n,f,c,b,p,t,b,s,s,g,w,p,w,1,p,k,y,d
1,f,f,g,1,n,f,c,b,n,t,b,s,s,w,w,p,w,1,p,n,v,d
1,x,f,g,0,n,f,w,b,p,t,e,f,s,w,w,p,w,1,e,k,s,g
0,x,s,w,1,p,f,c,n,n,e,e,s,s,w,w,p,w,1,p,k,s,g
1,x,s,n,0,n,f,w,b,k,t,e,s,s,w,w,p,w,1,e,n,a,g
1,x,y,g,1,n,f,c,b,p,t,b,s,s,w,g,p,w,1,p,k,y,d
1,f,f,g,1,n,f,c,b,p,t,b,s,s,w,w,p,w,1,p,n,v,d
1,x,y,n,1,n,f,c,b,w,t,b,s,s,p,w,p,w,1,p,n,v,d
1,x,f,e,1,n,f,c,b,p,t,b,s,s,p,g,p,w,1,p,n,y,d
1,f,f,n,1,n,f,c,b,w,t,b,s,s,g,p,p,w,1,p,n,y,d
1,x,f,e,1,n,f,c,b,u,t,b,s,s,g,g,p,w,1,p,k,y,d
1,f,f,n,1,n,f,c,b,p,t,b,s,s,w,w,p,w,1,p,n,v,d
1,x,y,e,1,n,f,c,b,u,t,b,s,s,p,p,p,w,1,p,k,y,d
1,x,f,g,1,n,f,c,b,w,t,b,s,s,p,w,p,w,1,p,k,v,d
1,f,f,g,1,n,f,c,b,p,t,b,s,s,w,w,p,w,1,p,k,v,d
1,x,f,e,1,n,f,c,b,w,t,b,s,s,g,w,p,w,1,p,k,v,d
1,x,y,e,1,n,f,c,b,u,t,b,s,s,g,p,p,w,1,p,n,v,d
0,x,s,w,1,p,f,c,n,w,e,e,s,s,w,w,p,w,1,p,n,v,g
1,x,f,e,1,n,f,c,b,n,t,b,s,s,p,g,p,w,1,p,n,v,d
1,x,y,g,1,n,f,c,b,p,t,b,s,s,w,w,p,w,1,p,k,v,d
1,x,f,n,1,n,f,c,b,p,t,b,s,s,g,g,p,w,1,p,n,y,d
1,x,y,e,1,n,f,c,b,w,t,b,s,s,w,g,p,w,1,p,k,y,d
1,x,y,g,1,n,f,c,b,n,t,b,s,s,g,p,p,w,1,p,k,v,d
1,x,f,g,1,n,f,c,b,n,t,b,s,s,p,p,p,w,1,p,k,v,d
1,x,y,g,1,n,f,c,b,u,t,b,s,s,g,w,p,w,1,p,k,v,d
1,x,f,e,1,n,f,c,b,p,t,b,s,s,w,w,p,w,1,p,n,y,d
1,f,y,e,1,n,f,c,b,n,t,b,s,s,w,w,p,w,1,p,n,y,d
1,f,f,n,1,n,f,c,b,p,t,b,s,s,g,p,p,w,1,p,k,v,d
1,x,f,n,1,n,f,c,b,u,t,b,s,s,w,p,p,w,1,p,k,v,d
1,f,y,g,1,n,f,c,b,w,t,b,s,s,p,p,p,w,1,p,k,v,d
1,x,y,e,1,n,f,c,b,u,t,b,s,s,p,g,p,w,1,p,n,v,d
1,x,f,g,1,n,f,c,b,p,t,b,s,s,g,g,p,w,1,p,n,y,d
1,x,y,g,1,n,f,c,b,n,t,b,s,s,w,p,p,w,1,p,k,v,d
0,x,f,g,0,f,f,c,b,p,e,b,k,k,b,b,p,w,1,l,h,y,g
0,f,s,w,1,p,f,c,n,p,e,e,s,s,w,w,p,w,1,p,k,s,g
1,x,f,e,1,n,f,c,b,n,t,b,s,s,p,w,p,w,1,p,k,v,d
1,x,f,w,0,n,f,w,b,h,t,e,s,s,w,w,p,w,1,e,n,s,g
1,x,y,n,1,n,f,c,b,u,t,b,s,s,g,w,p,w,1,p,n,v,d
1,f,f,n,1,n,f,c,b,n,t,b,s,s,g,w,p,w,1,p,n,y,d
1,x,f,n,1,n,f,c,b,w,t,b,s,s,p,g,p,w,1,p,n,v,d
1,x,y,g,1,n,f,c,b,u,t,b,s,s,p,w,p,w,1,p,n,y,d
1,x,y,g,1,n,f,c,b,w,t,b,s,s,g,w,p,w,1,p,n,v,d
1,x,f,e,1,n,f,c,b,u,t,b,s,s,w,p,p,w,1,p,k,v,d
1,x,y,n,1,n,f,c,b,n,t,b,s,s,w,g,p,w,1,p,n,y,d
1,x,f,g,1,n,f,c,b,w,t,b,s,s,p,g,p,w,1,p,k,y,d
1,x,f,e,1,n,f,c,b,w,t,b,s,s,p,w,p,w,1,p,k,v,d
1,x,y,e,1,n,f,c,b,u,t,b,s,s,w,g,p,w,1,p,k,v,d
1,x,y,n,1,n,f,c,b,p,t,b,s,s,p,w,p,w,1,p,n,y,d
1,x,y,e,1,n,f,c,b,n,t,b,s,s,w,w,p,w,1,p,k,y,d
1,f,y,n,1,n,f,c,b,p,t,b,s,s,w,g,p,w,1,p,n,v,d
1,f,y,n,1,n,f,c,b,n,t,b,s,s,p,w,p,w,1,p,k,v,d
1,x,y,n,1,n,f,c,b,n,t,b,s,s,g,g,p,w,1,p,n,v,d
0,f,s,n,1,p,f,c,n,n,e,e,s,s,w,w,p,w,1,p,n,v,u
1,f,f,e,1,n,f,c,b,u,t,b,s,s,w,w,p,w,1,p,n,y,d
0,x,s,w,1,p,f,c,n,w,e,e,s,s,w,w,p,w,1,p,k,s,g
1,x,f,e,1,n,f,c,b,u,t,b,s,s,g,p,p,w,1,p,k,y,d
1,f,f,n,1,n,f,c,b,p,t,b,s,s,g,g,p,w,1,p,k,y,d
1,x,y,n,1,n,f,c,b,u,t,b,s,s,p,g,p,w,1,p,n,v,d
1,f,f,e,1,n,f,c,b,p,t,b,s,s,w,g,p,w,1,p,n,v,d
1,x,f,e,1,n,f,c,b,n,t,b,s,s,w,g,p,w,1,p,n,y,d
1,x,f,g,1,n,f,c,b,p,t,b,s,s,g,p,p,w,1,p,n,v,d
1,x,y,n,1,n,f,c,b,n,t,b,s,s,p,g,p,w,1,p,n,y,d
1,f,f,n,1,n,f,c,b,u,t,b,s,s,w,g,p,w,1,p,n,v,d
1,f,f,n,1,n,f,c,b,w,t,b,s,s,p,p,p,w,1,p,n,y,d
1,x,f,e,1,n,f,c,b,u,t,b,s,s,w,g,p,w,1,p,k,v,d
1,x,f,n,1,n,f,c,b,u,t,b,s,s,w,g,p,w,1,p,k,y,d
1,x,f,e,1,n,f,c,b,p,t,b,s,s,g,w,p,w,1,p,n,y,d
1,f,f,g,1,n,f,c,b,p,t,b,s,s,g,p,p,w,1,p,k,v,d
1,x,y,n,1,n,f,c,b,u,t,b,s,s,w,p,p,w,1,p,k,y,d
1,f,f,n,1,n,f,c,b,u,t,b,s,s,w,p,p,w,1,p,n,y,d
1,x,f,e,1,n,f,c,b,n,t,b,s,s,w,p,p,w,1,p,n,y,d
1,x,y,e,1,n,f,c,b,w,t,b,s,s,p,w,p,w,1,p,n,y,d
1,x,f,g,1,n,f,c,b,p,t,b,s,s,p,g,p,w,1,p,k,y,d
1,x,y,g,1,n,f,c,b,n,t,b,s,s,g,g,p,w,1,p,k,y,d
1,x,y,e,1,n,f,c,b,p,t,b,s,s,p,g,p,w,1,p,n,v,d
1,x,y,g,1,n,f,c,b,p,t,b,s,s,g,p,p,w,1,p,k,v,d
1,x,f,g,1,n,f,c,b,n,t,b,s,s,g,g,p,w,1,p,n,v,d
1,f,f,g,1,n,f,c,b,n,t,b,s,s,g,g,p,w,1,p,n,v,d
1,x,y,g,1,n,f,c,b,n,t,b,s,s,g,w,p,w,1,p,k,v,d
1,x,y,e,1,n,f,c,b,n,t,b,s,s,w,g,p,w,1,p,n,y,d
1,f,f,n,1,n,f,c,b,p,t,b,s,s,w,p,p,w,1,p,k,v,d
1,f,f,n,1,n,f,c,b,w,t,b,s,s,g,w,p,w,1,p,k,y,d
1,x,y,e,1,n,f,c,b,p,t,b,s,s,w,w,p,w,1,p,n,v,d
0,x,f,g,0,f,f,c,b,p,e,b,k,k,n,p,p,w,1,l,h,y,d
1,x,y,g,1,n,f,c,b,u,t,b,s,s,p,w,p,w,1,p,k,y,d
1,x,f,e,1,n,f,c,b,w,t,b,s,s,p,g,p,w,1,p,n,y,d
1,x,y,n,1,n,f,c,b,u,t,b,s,s,g,p,p,w,1,p,n,v,d
1,f,f,n,1,n,f,c,b,p,t,b,s,s,g,w,p,w,1,p,n,y,d
1,x,y,e,1,n,f,c,b,w,t,b,s,s,g,p,p,w,1,p,k,v,d
1,f,f,n,1,n,f,c,b,p,t,b,s,s,g,g,p,w,1,p,k,v,d
1,f,y,n,1,n,f,c,b,p,t,b,s,s,w,g,p,w,1,p,k,y,d
1,f,f,g,1,n,f,c,b,p,t,b,s,s,w,p,p,w,1,p,k,y,d
1,x,f,e,1,n,f,c,b,n,t,b,s,s,p,w,p,w,1,p,k,y,d
1,x,f,g,1,n,f,c,b,w,t,b,s,s,g,p,p,w,1,p,k,v,d
1,x,f,g,1,n,f,c,b,u,t,b,s,s,g,w,p,w,1,p,n,v,d
1,x,f,n,1,n,f,c,b,u,t,b,s,s,p,w,p,w,1,p,k,v,d
1,x,f,g,1,n,f,c,b,w,t,b,s,s,w,g,p,w,1,p,k,y,d
1,x,s,g,0,n,f,w,b,k,t,e,s,s,w,w,p,w,1,e,n,s,g
1,x,y,e,1,n,f,c,b,u,t,b,s,s,p,g,p,w,1,p,k,y,d
1,f,f,g,1,n,f,c,b,p,t,b,s,s,p,g,p,w,1,p,k,y,d
1,x,y,e,1,n,f,c,b,n,t,b,s,s,g,w,p,w,1,p,n,v,d
1,f,f,g,1,n,f,c,b,n,t,b,s,s,g,p,p,w,1,p,k,v,d
1,x,f,g,1,n,f,c,b,u,t,b,s,s,w,p,p,w,1,p,k,y,d
1,x,f,g,1,n,f,c,b,n,t,b,s,s,p,p,p,w,1,p,n,v,d
1,f,f,g,1,n,f,c,b,p,t,b,s,s,w,p,p,w,1,p,n,y,d
1,x,s,w,0,n,f,w,b,p,t,e,s,f,w,w,p,w,1,e,n,a,g
1,x,f,n,1,n,f,c,b,w,t,b,s,s,g,w,p,w,1,p,n,y,d
1,f,f,n,1,n,f,c,b,w,t,b,s,s,p,p,p,w,1,p,k,v,d
1,f,f,g,1,n,f,c,b,p,t,b,s,s,g,g,p,w,1,p,k,y,d
1,x,y,g,1,n,f,c,b,w,t,b,s,s,w,w,p,w,1,p,k,y,d
1,x,f,e,1,n,f,c,b,u,t,b,s,s,w,w,p,w,1,p,n,v,d
1,x,y,e,1,n,f,c,b,u,t,b,s,s,g,p,p,w,1,p,k,v,d
1,x,f,n,1,n,f,c,b,w,t,b,s,s,g,p,p,w,1,p,k,y,d
1,f,y,g,1,n,f,c,b,w,t,b,s,s,w,w,p,w,1,p,k,y,d
1,x,y,g,1,n,f,c,b,w,t,b,s,s,p,p,p,w,1,p,n,v,d
0,x,s,p,0,c,f,w,n,g,e,b,s,s,w,w,p,w,1,p,n,s,d
1,x,y,n,1,n,f,c,b,p,t,b,s,s,g,p,p,w,1,p,n,y,d
1,f,f,g,1,n,f,c,b,n,t,b,s,s,p,w,p,w,1,p,k,v,d
1,x,y,e,1,n,f,c,b,p,t,b,s,s,w,p,p,w,1,p,k,y,d
1,f,f,n,1,n,f,c,b,p,t,b,s,s,p,w,p,w,1,p,n,v,d
1,x,y,n,1,n,f,c,b,w,t,b,s,s,w,g,p,w,1,p,n,v,d
1,x,f,g,1,n,f,c,b,w,t,b,s,s,g,w,p,w,1,p,n,y,d
1,f,f,n,1,n,f,c,b,p,t,b,s,s,g,w,p,w,1,p,n,v,d
1,x,y,n,1,n,f,c,b,n,t,b,s,s,p,w,p,w,1,p,k,v,d
1,x,y,n,1,n,f,c,b,w,t,b,s,s,p,w,p,w,1,p,k,v,d
1,x,f,e,1,n,f,c,b,w,t,b,s,s,p,w,p,w,1,p,n,v,d
1,f,f,g,1,n,f,c,b,p,t,b,s,s,w,p,p,w,1,p,k,v,d
1,x,y,e,1,n,f,c,b,n,t,b,s,s,w,w,p,w,1,p,n,v,d
1,x,y,e,1,n,f,c,b,u,t,b,s,s,g,g,p,w,1,p,n,v,d
1,f,f,n,1,n,f,c,b,w,t,b,s,s,p,g,p,w,1,p,n,y,d
1,x,f,e,1,n,f,c,b,p,t,b,s,s,w,p,p,w,1,p,k,v,d
1,x,f,e,1,n,f,c,b,n,t,b,s,s,p,p,p,w,1,p,n,y,d
1,x,f,w,0,n,f,w,b,k,t,e,f,f,w,w,p,w,1,e,n,s,g
1,x,y,g,1,n,f,c,b,p,t,b,s,s,g,g,p,w,1,p,k,y,d
1,x,f,e,1,n,f,c,b,p,t,b,s,s,g,w,p,w,1,p,k,v,d
1,x,y,g,1,n,f,c,b,p,t,b,s,s,p,w,p,w,1,p,n,v,d
1,x,f,e,1,n,f,c,b,w,t,b,s,s,w,p,p,w,1,p,k,v,d
1,x,f,g,1,n,f,c,b,p,t,b,s,s,w,w,p,w,1,p,n,y,d
1,f,y,e,1,n,f,c,b,p,t,b,s,s,w,g,p,w,1,p,n,v,d
1,f,y,g,1,n,f,c,b,p,t,b,s,s,p,g,p,w,1,p,k,v,d
1,x,y,e,1,n,f,c,b,p,t,b,s,s,p,w,p,w,1,p,k,y,d
1,x,y,g,1,n,f,c,b,p,t,b,s,s,w,g,p,w,1,p,n,y,d
1,f,f,g,0,n,f,w,b,h,t,e,s,f,w,w,p,w,1,e,k,s,g
0,x,f,g,0,f,f,c,b,g,e,b,k,k,b,p,p,w,1,l,h,y,p
1,x,f,e,1,n,f,c,b,p,t,b,s,s,g,w,p,w,1,p,k,y,d
1,x,y,e,1,n,f,c,b,w,t,b,s,s,w,g,p,w,1,p,n,y,d
0,f,s,w,1,p,f,c,n,w,e,e,s,s,w,w,p,w,1,p,k,v,g
1,f,y,n,1,n,f,c,b,u,t,b,s,s,w,w,p,w,1,p,k,y,d
1,x,f,e,1,n,f,c,b,n,t,b,s,s,p,w,p,w,1,p,n,y,d
1,x,y,e,1,n,f,c,b,n,t,b,s,s,p,g,p,w,1,p,k,v,d
1,x,f,g,1,n,f,c,b,n,t,b,s,s,g,w,p,w,1,p,k,v,d
1,x,y,g,1,n,f,c,b,p,t,b,s,s,g,p,p,w,1,p,n,v,d
1,x,f,g,0,n,f,w,b,n,t,e,f,f,w,w,p,w,1,e,n,a,g
1,x,f,n,1,n,f,c,b,u,t,b,s,s,g,w,p,w,1,p,n,y,d
1,f,f,e,1,n,f,c,b,n,t,b,s,s,g,w,p,w,1,p,k,y,d
1,x,y,g,1,n,f,c,b,u,t,b,s,s,g,g,p,w,1,p,n,y,d
1,f,f,n,1,n,f,c,b,w,t,b,s,s,g,p,p,w,1,p,k,y,d
1,f,f,g,0,n,f,w,b,h,t,e,f,f,w,w,p,w,1,e,n,s,g
1,f,f,g,1,n,f,c,b,p,t,b,s,s,p,w,p,w,1,p,n,v,d
1,x,y,n,1,n,f,c,b,w,t,b,s,s,w,w,p,w,1,p,k,v,d
1,f,f,g,1,n,f,c,b,p,t,b,s,s,p,p,p,w,1,p,k,y,d
1,f,y,n,1,n,f,c,b,u,t,b,s,s,w,w,p,w,1,p,n,y,d
1,x,f,g,1,n,f,c,b,w,t,b,s,s,p,g,p,w,1,p,n,v,d
1,x,y,e,1,n,f,c,b,u,t,b,s,s,p,w,p,w,1,p,n,v,d
1,x,y,n,1,n,f,c,b,n,t,b,s,s,p,p,p,w,1,p,n,v,d
1,f,s,g,0,n,f,w,b,n,t,e,f,s,w,w,p,w,1,e,n,a,g
1,x,f,n,1,n,f,c,b,w,t,b,s,s,w,p,p,w,1,p,k,y,d
1,f,f,n,1,n,f,c,b,n,t,b,s,s,w,g,p,w,1,p,k,y,d
1,x,y,e,1,n,f,c,b,w,t,b,s,s,p,p,p,w,1,p,n,y,d
1,x,y,e,1,n,f,c,b,w,t,b,s,s,p,g,p,w,1,p,k,y,d
1,x,y,n,1,n,f,c,b,n,t,b,s,s,p,w,p,w,1,p,k,y,d
1,f,s,w,0,n,f,w,b,h,t,e,s,f,w,w,p,w,1,e,k,a,g
1,x,y,n,1,n,f,c,b,p,t,b,s,s,g,g,p,w,1,p,n,v,d
1,x,y,e,1,n,f,c,b,p,t,b,s,s,w,w,p,w,1,p,k,y,d
1,x,f,g,1,n,f,c,b,p,t,b,s,s,p,g,p,w,1,p,n,v,d
1,f,f,g,1,n,f,c,b,n,t,b,s,s,p,w,p,w,1,p,n,v,d
1,f,f,n,0,n,f,w,b,n,t,e,s,f,w,w,p,w,1,e,k,s,g
1,f,f,g,1,n,f,c,b,n,t,b,s,s,w,p,p,w,1,p,k,v,d
1,x,y,e,1,n,f,c,b,u,t,b,s,s,g,w,p,w,1,p,k,y,d
1,f,f,g,1,n,f,c,b,n,t,b,s,s,w,g,p,w,1,p,k,v,d
1,x,y,n,1,n,f,c,b,u,t,b,s,s,w,p,p,w,1,p,n,y,d
1,x,f,e,1,n,f,c,b,u,t,b,s,s,p,g,p,w,1,p,k,y,d
1,x,f,n,1,n,f,c,b,w,t,b,s,s,w,p,p,w,1,p,n,y,d
1,x,f,g,1,n,f,c,b,n,t,b,s,s,w,w,p,w,1,p,n,v,d
1,f,f,g,1,n,f,c,b,w,t,b,s,s,g,w,p,w,1,p,n,v,d
1,x,f,n,1,n,f,c,b,p,t,b,s,s,p,g,p,w,1,p,k,y,d
1,x,y,n,1,n,f,c,b,u,t,b,s,s,p,g,p,w,1,p,n,y,d
1,x,f,e,1,n,f,c,b,p,t,b,s,s,w,g,p,w,1,p,n,v,d
1,f,f,g,1,n,f,c,b,n,t,b,s,s,w,g,p,w,1,p,k,y,d
1,x,y,n,1,n,f,c,b,p,t,b,s,s,w,p,p,w,1,p,k,y,d
0,x,s,p,0,c,f,w,n,n,e,b,s,s,w,w,p,w,1,p,k,v,d
1,f,y,g,1,n,f,c,b,w,t,b,s,s,g,w,p,w,1,p,k,y,d
1,f,f,n,1,n,f,c,b,p,t,b,s,s,w,g,p,w,1,p,n,y,d
0,f,s,n,1,p,f,c,n,p,e,e,s,s,w,w,p,w,1,p,k,s,u
1,x,y,n,1,n,f,c,b,u,t,b,s,s,w,g,p,w,1,p,k,y,d
1,x,y,g,1,n,f,c,b,u,t,b,s,s,g,g,p,w,1,p,k,y,d
1,x,y,e,1,n,f,c,b,n,t,b,s,s,g,g,p,w,1,p,k,v,d
1,x,y,e,1,n,f,c,b,n,t,b,s,s,p,w,p,w,1,p,n,v,d
1,x,y,e,1,n,f,c,b,p,t,b,s,s,w,g,p,w,1,p,k,v,d
1,x,f,g,1,n,f,c,b,p,t,b,s,s,p,g,p,w,1,p,n,y,d
1,f,s,w,0,n,f,w,b,n,t,e,s,s,w,w,p,w,1,e,k,s,g
1,x,y,g,1,n,f,c,b,p,t,b,s,s,w,p,p,w,1,p,n,v,d
1,x,f,n,0,n,f,w,b,p,t,e,s,f,w,w,p,w,1,e,n,s,g
1,x,f,n,1,n,f,c,b,w,t,b,s,s,g,p,p,w,1,p,n,y,d
1,x,y,g,1,n,f,c,b,p,t,b,s,s,p,p,p,w,1,p,k,v,d
1,x,y,e,1,n,f,c,b,p,t,b,s,s,w,p,p,w,1,p,n,v,d
1,x,y,n,1,n,f,c,b,u,t,b,s,s,g,p,p,w,1,p,k,v,d
1,x,f,g,1,n,f,c,b,w,t,b,s,s,p,w,p,w,1,p,n,v,d
1,x,f,g,1,n,f,c,b,w,t,b,s,s,p,w,p,w,1,p,k,y,d
1,x,y,g,1,n,f,c,b,w,t,b,s,s,p,g,p,w,1,p,k,v,d
1,x,y,g,1,n,f,c,b,n,t,b,s,s,p,p,p,w,1,p,n,y,d
1,f,y,g,1,n,f,c,b,p,t,b,s,s,g,g,p,w,1,p,n,v,d
1,x,f,e,1,n,f,c,b,p,t,b,s,s,w,w,p,w,1,p,k,v,d
1,x,y,e,1,n,f,c,b,n,t,b,s,s,g,w,p,w,1,p,k,y,d
1,x,f,n,1,n,f,c,b,w,t,b,s,s,p,w,p,w,1,p,n,v,d
1,x,f,n,1,n,f,c,b,w,t,b,s,s,p,p,p,w,1,p,n,y,d
1,f,f,n,1,n,f,c,b,n,t,b,s,s,g,g,p,w,1,p,k,v,d
1,f,f,n,1,n,f,c,b,p,t,b,s,s,p,p,p,w,1,p,n,y,d
1,x,y,g,1,n,f,c,b,u,t,b,s,s,p,p,p,w,1,p,n,v,d
1,x,f,e,1,n,f,c,b,w,t,b,s,s,w,g,p,w,1,p,k,y,d
1,f,y,n,1,n,f,c,b,w,t,b,s,s,p,g,p,w,1,p,k,v,d
1,x,y,e,1,n,f,c,b,p,t,b,s,s,w,w,p,w,1,p,k,v,d
1,f,y,n,1,n,f,c,b,w,t,b,s,s,w,p,p,w,1,p,k,y,d
1,x,y,g,1,n,f,c,b,p,t,b,s,s,w,w,p,w,1,p,k,y,d
1,f,f,n,1,n,f,c,b,n,t,b,s,s,p,w,p,w,1,p,n,v,d
1,x,y,g,1,n,f,c,b,w,t,b,s,s,g,p,p,w,1,p,k,y,d
1,x,y,e,1,n,f,c,b,w,t,b,s,s,p,p,p,w,1,p,k,v,d
1,x,y,n,1,n,f,c,b,p,t,b,s,s,w,g,p,w,1,p,k,y,d
1,x,f,g,1,n,f,c,b,w,t,b,s,s,w,p,p,w,1,p,k,y,d
1,x,f,e,1,n,f,c,b,u,t,b,s,s,w,g,p,w,1,p,n,y,d
1,x,f,n,1,n,f,c,b,u,t,b,s,s,p,p,p,w,1,p,k,v,d
1,f,f,n,1,n,f,c,b,w,t,b,s,s,g,w,p,w,1,p,n,y,d
1,f,y,g,1,n,f,c,b,u,t,b,s,s,p,p,p,w,1,p,n,v,d
1,x,f,n,1,n,f,c,b,w,t,b,s,s,p,w,p,w,1,p,k,v,d
1,x,y,e,1,n,f,c,b,w,t,b,s,s,p,w,p,w,1,p,k,y,d
1,f,f,n,1,n,f,c,b,w,t,b,s,s,p,g,p,w,1,p,k,v,d
1,x,y,n,1,n,f,c,b,w,t,b,s,s,g,p,p,w,1,p,k,v,d
1,f,f,n,1,n,f,c,b,n,t,b,s,s,w,p,p,w,1,p,k,y,d
1,x,y,e,1,n,f,c,b,u,t,b,s,s,w,g,p,w,1,p,n,y,d
1,x,y,e,1,n,f,c,b,u,t,b,s,s,p,g,p,w,1,p,n,y,d
1,x,f,g,1,n,f,c,b,w,t,b,s,s,g,g,p,w,1,p,n,v,d
1,x,f,g,1,n,f,c,b,p,t,b,s,s,w,p,p,w,1,p,n,v,d
1,f,f,e,1,n,f,c,b,u,t,b,s,s,w,p,p,w,1,p,n,v,d
1,x,f,n,1,n,f,c,b,w,t,b,s,s,w,g,p,w,1,p,n,y,d
1,x,y,e,1,n,f,c,b,n,t,b,s,s,p,p,p,w,1,p,n,y,d
1,x,y,g,1,n,f,c,b,u,t,b,s,s,p,w,p,w,1,p,n,v,d
1,x,y,g,1,n,f,c,b,u,t,b,s,s,w,p,p,w,1,p,k,y,d
1,x,f,e,1,n,f,c,b,u,t,b,s,s,p,w,p,w,1,p,n,v,d
1,f,f,n,1,n,f,c,b,w,t,b,s,s,w,w,p,w,1,p,n,v,d
1,x,y,n,1,n,f,c,b,p,t,b,s,s,p,p,p,w,1,p,n,y,d
1,x,y,g,1,n,f,c,b,u,t,b,s,s,g,p,p,w,1,p,k,v,d
1,x,f,w,0,n,f,w,b,h,t,e,s,f,w,w,p,w,1,e,n,s,g
1,f,y,g,1,n,f,c,b,w,t,b,s,s,g,g,p,w,1,p,n,y,d
1,f,s,g,0,n,f,w,b,n,t,e,f,f,w,w,p,w,1,e,n,s,g
1,f,f,n,1,n,f,c,b,u,t,b,s,s,g,w,p,w,1,p,n,y,d
1,x,y,e,1,n,f,c,b,w,t,b,s,s,w,w,p,w,1,p,k,y,d
0,f,y,w,1,p,f,c,n,w,e,e,s,s,w,w,p,w,1,p,n,s,u
1,x,y,g,1,n,f,c,b,n,t,b,s,s,w,g,p,w,1,p,k,v,d
1,f,f,n,1,n,f,c,b,w,t,b,s,s,w,w,p,w,1,p,k,y,d
1,x,f,g,1,n,f,c,b,w,t,b,s,s,g,g,p,w,1,p,n,y,d
1,x,f,e,1,n,f,c,b,n,t,b,s,s,p,g,p,w,1,p,k,v,d
1,f,f,g,1,n,f,c,b,n,t,b,s,s,g,w,p,w,1,p,k,v,d
1,x,y,n,1,n,f,c,b,p,t,b,s,s,p,g,p,w,1,p,n,y,d
1,x,y,e,1,n,f,c,b,n,t,b,s,s,p,w,p,w,1,p,k,y,d
1,x,y,n,1,n,f,c,b,n,t,b,s,s,p,g,p,w,1,p,n,v,d
1,x,y,n,1,n,f,c,b,n,t,b,s,s,w,w,p,w,1,p,n,y,d
1,f,f,n,1,n,f,c,b,p,t,b,s,s,g,w,p,w,1,p,k,y,d
1,x,y,g,1,n,f,c,b,u,t,b,s,s,g,p,p,w,1,p,k,y,d
1,x,y,n,1,n,f,c,b,n,t,b,s,s,w,p,p,w,1,p,k,y,d
1,x,f,e,1,n,f,c,b,w,t,b,s,s,w,g,p,w,1,p,k,v,d
1,f,f,n,1,n,f,c,b,p,t,b,s,s,p,g,p,w,1,p,k,y,d
1,x,f,e,1,n,f,c,b,n,t,b,s,s,w,w,p,w,1,p,k,v,d
1,f,s,w,0,n,f,w,b,k,t,e,s,s,w,w,p,w,1,e,n,a,g
1,x,y,n,1,n,f,c,b,n,t,b,s,s,g,w,p,w,1,p,k,v,d
1,x,f,g,1,n,f,c,b,w,t,b,s,s,g,g,p,w,1,p,k,y,d
1,x,f,n,1,n,f,c,b,w,t,b,s,s,p,w,p,w,1,p,k,y,d
1,x,f,e,1,n,f,c,b,p,t,b,s,s,g,g,p,w,1,p,n,y,d
1,f,f,n,1,n,f,c,b,n,t,b,s,s,g,p,p,w,1,p,k,y,d
1,x,f,n,1,n,f,c,b,u,t,b,s,s,w,p,p,w,1,p,n,v,d
1,x,y,n,1,n,f,c,b,p,t,b,s,s,w,g,p,w,1,p,n,y,d
0,f,s,w,1,p,f,c,n,w,e,e,s,s,w,w,p,w,1,p,n,v,u
